Record_Start_Time,Record_Stop_Time,HAV,PAK,RIR,LND,CLD,RXE
"2017-07-01 00:00:00","2017-07-01 01:00:00",67.47000,96.70377,73.30000,91.90000,0.65000,0.45161
"2017-07-01 01:00:00","2017-07-01 02:00:00",91.80000,97.43399,83.80000,93.40000,0.61600,0.71001
"2017-07-01 02:00:00","2017-07-01 03:00:00",94.70000,97.78438,82.60000,93.30000,0.88600,0.58910
"2017-07-01 03:00:00","2017-07-01 04:00:00",95.40000,98.08474,90.50000,92.60000,12.41000,0.70073
"2017-07-01 04:00:00","2017-07-01 05:00:00",96.30000,98.28299,89.80000,93.60000,11.28000,1.50263
"2017-07-01 05:00:00","2017-07-01 06:00:00",96.60000,98.61333,83.80000,93.40000,10.44000,0.89721
"2017-07-01 06:00:00","2017-07-01 07:00:00",97.10000,98.82866,93.10000,93.10000,16.09000,1.08644
"2017-07-01 07:00:00","2017-07-01 08:00:00",97.40000,98.91853,97.10000,91.90000,22.93000,1.86212
"2017-07-01 08:00:00","2017-07-01 09:00:00",97.70000,99.00313,94.00000,93.80000,26.14000,13.21916
"2017-07-01 09:00:00","2017-07-01 10:00:00",98.40000,98.96510,90.10000,93.70000,28.40000,4.86642
"2017-07-01 10:00:00","2017-07-01 11:00:00",95.40000,98.15183,96.80000,93.60000,31.38000,0.99726
"2017-07-01 11:00:00","2017-07-01 12:00:00",86.10000,94.01965,95.50000,93.80000,75.40000,0.76844
"2017-07-01 12:00:00","2017-07-01 13:00:00",72.14000,10.45350,95.40000,92.90000,93.20000,0.71428
"2017-07-01 13:00:00","2017-07-01 14:00:00",1.03000,1.22035,96.20000,92.30000,88.50000,77.27192
"2017-07-01 14:00:00","2017-07-01 15:00:00",0.74500,0.91945,99.90000,95.80000,88.30000,97.49136
"2017-07-01 15:00:00","2017-07-01 16:00:00",53.72000,31.06470,99.40000,96.70000,87.90000,97.36643
"2017-07-01 16:00:00","2017-07-01 17:00:00",53.08000,8.73778,93.20000,93.70000,87.20000,96.59911
"2017-07-01 17:00:00","2017-07-01 18:00:00",34.37000,1.20242,98.80000,93.20000,88.30000,96.89037
"2017-07-01 18:00:00","2017-07-01 19:00:00",0.12600,1.01250,99.60000,93.10000,86.60000,96.81527
"2017-07-01 19:00:00","2017-07-01 20:00:00",7.77200,0.96635,99.10000,94.30000,87.00000,97.16622
"2017-07-01 20:00:00","2017-07-01 21:00:00",0.05500,1.21077,96.40000,92.50000,88.60000,95.77337
"2017-07-01 21:00:00","2017-07-01 22:00:00",0.06400,1.00344,92.70000,91.30000,93.20000,96.95822
"2017-07-01 22:00:00","2017-07-01 23:00:00",9.68000,0.92339,90.70000,92.20000,95.20000,97.30746
"2017-07-01 23:00:00","2017-07-02 00:00:00",17.33000,0.91480,90.30000,92.20000,95.20000,96.99093
"2017-07-02 00:00:00","2017-07-02 01:00:00",0.84300,7.27670,90.20000,91.90000,94.50000,97.92104
"2017-07-02 01:00:00","2017-07-02 02:00:00",30.51000,20.61267,89.80000,90.30000,95.50000,96.88841
"2017-07-02 02:00:00","2017-07-02 03:00:00",1.71400,7.14031,90.10000,92.10000,96.30000,96.07653
"2017-07-02 03:00:00","2017-07-02 04:00:00",31.57000,48.37128,90.70000,91.90000,97.10000,96.35531
"2017-07-02 04:00:00","2017-07-02 05:00:00",70.61000,64.77004,95.80000,91.00000,94.30000,96.38415
"2017-07-02 05:00:00","2017-07-02 06:00:00",60.18000,70.75176,97.80000,90.70000,91.80000,89.91518
"2017-07-02 06:00:00","2017-07-02 07:00:00",94.50000,97.82139,88.60000,89.40000,90.60000,59.41055
"2017-07-02 07:00:00","2017-07-02 08:00:00",87.20000,97.39830,83.80000,83.80000,89.70000,73.85385
"2017-07-02 08:00:00","2017-07-02 09:00:00",61.95000,96.60106,96.40000,82.80000,82.50000,98.12493
"2017-07-02 09:00:00","2017-07-02 10:00:00",0.24500,37.06565,96.40000,78.90000,76.70000,97.49937
"2017-07-02 10:00:00","2017-07-02 11:00:00",0.18700,1.09319,94.70000,87.60000,69.31000,96.32928
"2017-07-02 11:00:00","2017-07-02 12:00:00",0.08000,1.11325,96.20000,89.00000,82.90000,97.39219
"2017-07-02 12:00:00","2017-07-02 13:00:00",0.07300,0.82781,87.10000,79.90000,91.40000,97.74984
"2017-07-02 13:00:00","2017-07-02 14:00:00",0.13600,0.83273,85.50000,90.00000,93.50000,89.65642
"2017-07-02 14:00:00","2017-07-02 15:00:00",0.17100,0.84366,76.00000,85.40000,93.20000,52.17483
"2017-07-02 15:00:00","2017-07-02 16:00:00",0.18400,0.98680,78.90000,78.60000,94.70000,2.16651
"2017-07-02 16:00:00","2017-07-02 17:00:00",0.20300,0.67191,76.60000,79.00000,94.30000,1.95817
"2017-07-02 17:00:00","2017-07-02 18:00:00",0.23800,0.87955,84.70000,79.80000,94.30000,4.45636
"2017-07-02 18:00:00","2017-07-02 19:00:00",0.19100,1.16303,89.40000,84.10000,94.80000,44.69646
"2017-07-02 19:00:00","2017-07-02 20:00:00",22.22000,41.93352,95.60000,86.40000,97.10000,97.53503
"2017-07-02 20:00:00","2017-07-02 21:00:00",95.60000,98.30839,90.60000,80.10000,96.50000,98.98646
"2017-07-02 21:00:00","2017-07-02 22:00:00",91.90000,98.20672,85.70000,76.00000,96.60000,99.13168
"2017-07-02 22:00:00","2017-07-02 23:00:00",91.70000,98.04603,84.10000,87.30000,96.90000,99.45196
"2017-07-02 23:00:00","2017-07-03 00:00:00",92.10000,95.07999,82.10000,79.60000,97.10000,99.57665
"2017-07-03 00:00:00","2017-07-03 01:00:00",85.80000,56.01905,91.40000,74.70000,97.10000,99.56979
"2017-07-03 01:00:00","2017-07-03 02:00:00",83.90000,84.92805,89.10000,77.30000,97.10000,99.60197
"2017-07-03 02:00:00","2017-07-03 03:00:00",91.00000,90.35552,86.50000,74.70000,97.20000,99.48714
"2017-07-03 03:00:00","2017-07-03 04:00:00",93.30000,98.22339,89.40000,67.46000,97.20000,99.60190
"2017-07-03 04:00:00","2017-07-03 05:00:00",94.70000,98.02792,88.30000,60.23000,97.10000,99.51026
"2017-07-03 05:00:00","2017-07-03 06:00:00",96.00000,97.80450,88.60000,56.92000,97.00000,99.44507
"2017-07-03 06:00:00","2017-07-03 07:00:00",99.60000,97.88158,89.40000,54.84000,97.00000,92.03438
"2017-07-03 07:00:00","2017-07-03 08:00:00",98.90000,97.84711,89.80000,53.94000,97.00000,64.95821
"2017-07-03 08:00:00","2017-07-03 09:00:00",98.20000,97.63009,90.60000,54.14000,97.00000,11.63297
"2017-07-03 09:00:00","2017-07-03 10:00:00",88.00000,26.20662,82.00000,28.87000,97.20000,0.65355
"2017-07-03 10:00:00","2017-07-03 11:00:00",0.27900,0.96574,12.81000,-0.00300,97.70000,0.24782
"2017-07-03 11:00:00","2017-07-03 12:00:00",0.07500,0.80060,0.05000,-0.07400,91.60000,0.19929
"2017-07-03 12:00:00","2017-07-03 13:00:00",0.05000,0.95397,0.05000,-0.04900,6.00600,0.18829
"2017-07-03 13:00:00","2017-07-03 14:00:00",0.05000,0.87287,94.30000,0.04000,0.47500,0.35947
"2017-07-03 14:00:00","2017-07-03 15:00:00",0.05000,0.86578,14.67000,0.06000,0.43600,0.21170
"2017-07-03 15:00:00","2017-07-03 16:00:00",0.05000,0.81531,0.58200,0.06000,0.46200,0.23084
"2017-07-03 16:00:00","2017-07-03 17:00:00",0.08500,0.88868,0.31600,45.10000,5.85500,0.25992
"2017-07-03 17:00:00","2017-07-03 18:00:00",0.68000,1.65598,89.10000,91.00000,65.59000,1.35172
"2017-07-03 18:00:00","2017-07-03 19:00:00",0.47600,88.09608,88.20000,89.70000,97.20000,79.33979
"2017-07-03 19:00:00","2017-07-03 20:00:00",0.69700,92.98743,88.60000,86.40000,98.60000,90.67648
"2017-07-03 20:00:00","2017-07-03 21:00:00",1.39700,67.80759,89.40000,83.40000,98.80000,96.35606
"2017-07-03 21:00:00","2017-07-03 22:00:00",14.93000,86.04562,89.90000,79.80000,54.37000,97.88148
"2017-07-03 22:00:00","2017-07-03 23:00:00",17.59000,12.05752,90.50000,73.30000,19.77000,94.49269
"2017-07-03 23:00:00","2017-07-04 00:00:00",13.92000,15.93417,90.10000,68.32000,72.10000,97.67341
"2017-07-04 00:00:00","2017-07-04 01:00:00",23.82000,59.40145,90.10000,67.17000,82.70000,96.84421
"2017-07-04 01:00:00","2017-07-04 02:00:00",20.08000,49.76971,90.10000,68.18000,91.00000,97.47132
"2017-07-04 02:00:00","2017-07-04 03:00:00",20.23000,68.68140,90.20000,72.80000,91.50000,94.44305
"2017-07-04 03:00:00","2017-07-04 04:00:00",22.68000,84.70016,89.90000,80.60000,88.20000,96.36488
"2017-07-04 04:00:00","2017-07-04 05:00:00",43.49000,91.97808,90.10000,85.30000,52.93000,88.32834
"2017-07-04 05:00:00","2017-07-04 06:00:00",85.20000,94.91947,89.90000,87.30000,0.64000,75.67493
