Record_Start_Time,Record_Stop_Time,HAV,PAK,RIR,LND,CLD,RXE
"2011-07-01 00:00:00","2011-07-01 01:00:00",8.09000,8.37000,5.36800,54.74000,0.73500,0.96100
"2011-07-01 01:00:00","2011-07-01 02:00:00",7.29000,12.86000,4.30500,55.55000,0.59800,1.90800
"2011-07-01 02:00:00","2011-07-01 03:00:00",25.25000,17.09000,4.30500,53.61000,0.59800,1.23200
"2011-07-01 03:00:00","2011-07-01 04:00:00",39.86000,18.41000,2.70900,52.10000,0.59800,1.23200
"2011-07-01 04:00:00","2011-07-01 05:00:00",9.70000,19.33000,4.03800,50.98000,0.73500,4.07200
"2011-07-01 05:00:00","2011-07-01 06:00:00",39.19000,67.54000,2.84200,53.39000,0.59800,3.39600
"2011-07-01 06:00:00","2011-07-01 07:00:00",76.90000,92.00000,2.31000,56.71000,0.87100,3.80200
"2011-07-01 07:00:00","2011-07-01 08:00:00",100.00000,94.20000,2.31000,69.33000,1.14500,1.77300
"2011-07-01 08:00:00","2011-07-01 09:00:00",100.00000,96.30000,12.55000,85.70000,1.69300,1.09700
"2011-07-01 09:00:00","2011-07-01 10:00:00",5.68000,2.29500,91.50000,53.88000,12.37000,98.20000
"2011-07-01 10:00:00","2011-07-01 11:00:00",0.18400,2.16300,90.90000,0.06000,89.90000,0.42000
"2011-07-01 11:00:00","2011-07-01 12:00:00",0.05000,0.71000,0.05000,0.06000,97.00000,0.15000
"2011-07-01 12:00:00","2011-07-01 13:00:00",0.05000,0.84200,0.05000,0.08400,94.40000,0.28500
"2011-07-01 13:00:00","2011-07-01 14:00:00",0.05000,0.57800,0.05000,0.14900,61.10000,-0.25600
"2011-07-01 14:00:00","2011-07-01 15:00:00",0.18400,1.23900,0.18300,0.10200,47.68000,0.42000
"2011-07-01 15:00:00","2011-07-01 16:00:00",0.18400,1.89900,0.31600,0.15300,5.66200,0.15000
"2011-07-01 16:00:00","2011-07-01 17:00:00",0.31800,4.54000,0.44900,1.13000,5.66200,0.15000
"2011-07-01 17:00:00","2011-07-01 18:00:00",0.45200,6.12500,0.58200,6.26000,12.78000,0.69100
"2011-07-01 18:00:00","2011-07-01 19:00:00",0.72000,8.11000,0.44900,1.34600,9.22000,1.77300
"2011-07-01 19:00:00","2011-07-01 20:00:00",0.72000,12.86000,0.31600,1.15300,7.44000,6.23600
"2011-07-01 20:00:00","2011-07-01 21:00:00",0.72000,12.20000,0.31600,2.19600,5.79900,10.02000
"2011-07-01 21:00:00","2011-07-01 22:00:00",0.72000,12.99000,2.44300,6.92900,6.34700,11.78000
"2011-07-01 22:00:00","2011-07-01 23:00:00",0.58600,6.91800,6.43100,24.12000,6.07300,1.63800
"2011-07-01 23:00:00","2011-07-02 00:00:00",78.50000,95.30000,54.95000,28.93000,5.66300,1.09700
"2011-07-02 00:00:00","2011-07-02 01:00:00",26.45000,62.78000,69.72000,36.50000,5.66300,0.82600
"2011-07-02 01:00:00","2011-07-02 02:00:00",100.00000,98.20000,73.30000,32.76000,4.70500,0.69100
"2011-07-02 02:00:00","2011-07-02 03:00:00",100.00000,98.20000,78.20000,1.51800,5.52600,1.09700
"2011-07-02 03:00:00","2011-07-02 04:00:00",100.00000,36.76000,79.90000,3.34700,6.75800,1.63800
"2011-07-02 04:00:00","2011-07-02 05:00:00",100.00000,15.90000,79.00000,12.52000,5.66300,1.77300
"2011-07-02 05:00:00","2011-07-02 06:00:00",52.99000,15.11000,82.60000,2.74800,3.88300,2.31400
"2011-07-02 06:00:00","2011-07-02 07:00:00",17.74000,24.22000,85.80000,4.40100,4.70500,3.66600
"2011-07-02 07:00:00","2011-07-02 08:00:00",9.16000,23.82000,88.90000,12.20000,4.97800,2.99000
"2011-07-02 08:00:00","2011-07-02 09:00:00",98.40000,47.85000,91.90000,6.11700,9.77000,14.62000
"2011-07-02 09:00:00","2011-07-02 10:00:00",2.86500,8.90000,94.00000,0.06400,6.34700,92.70000
"2011-07-02 10:00:00","2011-07-02 11:00:00",32.09000,40.86000,90.30000,0.06200,96.70000,0.15000
"2011-07-02 11:00:00","2011-07-02 12:00:00",1.25600,1.37100,0.05000,0.06000,0.18700,-0.12000
"2011-07-02 12:00:00","2011-07-02 13:00:00",0.72000,2.03100,0.05000,0.05800,0.32400,-0.25600
"2011-07-02 13:00:00","2011-07-02 14:00:00",0.58600,1.63500,0.05000,0.06200,0.32400,-0.12000
"2011-07-02 14:00:00","2011-07-02 15:00:00",0.45200,1.76700,0.05000,0.08200,0.32400,0.28500
"2011-07-02 15:00:00","2011-07-02 16:00:00",0.72000,2.55900,0.18300,0.12000,0.32400,0.42000
"2011-07-02 16:00:00","2011-07-02 17:00:00",0.98800,5.99300,0.58200,0.26300,0.73400,0.69100
"2011-07-02 17:00:00","2011-07-02 18:00:00",0.98800,10.35000,0.31600,10.79000,13.05000,0.42000
"2011-07-02 18:00:00","2011-07-02 19:00:00",1.39000,14.05000,3.24000,29.24000,26.19000,0.69100
"2011-07-02 19:00:00","2011-07-02 20:00:00",2.06100,18.80000,10.42000,35.55000,3.19900,2.58400
"2011-07-02 20:00:00","2011-07-02 21:00:00",4.74100,23.56000,65.19000,42.43000,3.60900,3.26100
"2011-07-02 21:00:00","2011-07-02 22:00:00",2.32900,14.44000,4.96900,48.59000,3.88300,3.93700
"2011-07-02 22:00:00","2011-07-02 23:00:00",3.13300,15.63000,2.44300,60.33000,3.60900,1.50200
"2011-07-02 23:00:00","2011-07-03 00:00:00",3.93700,23.95000,1.91100,80.40000,3.19900,0.82600
"2011-07-03 00:00:00","2011-07-03 01:00:00",5.27700,19.73000,1.51300,90.60000,2.65100,0.96200
"2011-07-03 01:00:00","2011-07-03 02:00:00",1.52400,27.52000,1.77800,93.70000,2.51400,0.42100
"2011-07-03 02:00:00","2011-07-03 03:00:00",64.65000,90.00000,1.51300,94.80000,1.96700,0.55600
"2011-07-03 03:00:00","2011-07-03 04:00:00",100.00000,94.90000,1.51300,95.40000,1.69300,0.42100
"2011-07-03 04:00:00","2011-07-03 05:00:00",100.00000,96.30000,1.51300,95.80000,1.55600,0.28500
"2011-07-03 05:00:00","2011-07-03 06:00:00",100.00000,97.70000,1.11400,96.00000,1.28200,1.09700
"2011-07-03 06:00:00","2011-07-03 07:00:00",100.00000,98.80000,1.11400,90.40000,1.14500,0.69100
"2011-07-03 07:00:00","2011-07-03 08:00:00",100.00000,99.60000,0.98100,27.11000,1.00800,0.82600
"2011-07-03 08:00:00","2011-07-03 09:00:00",100.00000,99.90000,2.04500,54.10000,1.28200,0.69100
"2011-07-03 09:00:00","2011-07-03 10:00:00",6.21500,99.20000,77.20000,89.30000,48.24000,1.63800
"2011-07-03 10:00:00","2011-07-03 11:00:00",0.05000,4.80400,91.40000,3.18700,94.80000,95.60000
"2011-07-03 11:00:00","2011-07-03 12:00:00",0.05000,0.97400,0.05000,0.06000,0.18700,0.42100
"2011-07-03 12:00:00","2011-07-03 13:00:00",-0.08400,0.31400,0.18300,0.06700,0.18700,-0.12000
"2011-07-03 13:00:00","2011-07-03 14:00:00",0.05000,0.57800,0.05000,0.12000,0.32400,0.28500
"2011-07-03 14:00:00","2011-07-03 15:00:00",0.05000,0.57800,0.18300,0.07300,0.18700,0.15000
"2011-07-03 15:00:00","2011-07-03 16:00:00",0.18400,0.71000,0.18300,0.10500,0.18700,0.28500
"2011-07-03 16:00:00","2011-07-03 17:00:00",1.12200,61.33000,0.44900,0.81700,0.32400,-0.12000
"2011-07-03 17:00:00","2011-07-03 18:00:00",85.00000,95.50000,0.44900,14.14000,0.32400,-0.25600
"2011-07-03 18:00:00","2011-07-03 19:00:00",100.00000,96.50000,2.17700,31.34000,0.32400,0.15000
"2011-07-03 19:00:00","2011-07-03 20:00:00",100.00000,97.50000,6.43100,37.39000,0.32400,0.15000
"2011-07-03 20:00:00","2011-07-03 21:00:00",100.00000,99.40000,60.27000,42.26000,0.46100,-0.12000
"2011-07-03 21:00:00","2011-07-03 22:00:00",100.00000,99.90000,64.40000,46.76000,0.73400,0.01500
"2011-07-03 22:00:00","2011-07-03 23:00:00",100.00000,100.00000,3.64000,63.55000,1.96600,0.42000
"2011-07-03 23:00:00","2011-07-04 00:00:00",100.00000,100.00000,1.91100,86.90000,11.14000,0.28500
"2011-07-04 00:00:00","2011-07-04 01:00:00",100.00000,100.00000,1.51300,45.37000,6.34800,-0.25600
"2011-07-04 01:00:00","2011-07-04 02:00:00",100.00000,100.00000,1.77900,9.18000,1.41900,0.42000
"2011-07-04 02:00:00","2011-07-04 03:00:00",98.40000,95.10000,1.11400,13.77000,1.28200,-0.25600
"2011-07-04 03:00:00","2011-07-04 04:00:00",98.40000,95.70000,1.11400,16.23000,1.14500,0.01500
"2011-07-04 04:00:00","2011-07-04 05:00:00",96.20000,93.20000,1.51300,10.98000,1.83000,-0.12000
"2011-07-04 05:00:00","2011-07-04 06:00:00",94.00000,93.30000,1.38000,14.48000,1.41900,0.15000
"2011-07-04 06:00:00","2011-07-04 07:00:00",95.60000,91.00000,1.24700,8.65000,1.55600,0.15000
"2011-07-04 07:00:00","2011-07-04 08:00:00",99.20000,96.10000,1.24700,7.88000,1.55600,0.42000
"2011-07-04 08:00:00","2011-07-04 09:00:00",100.00000,99.80000,2.44300,36.71000,2.78800,-0.12000
"2011-07-04 09:00:00","2011-07-04 10:00:00",100.00000,99.80000,91.00000,83.10000,94.60000,0.15000
"2011-07-04 10:00:00","2011-07-04 11:00:00",3.13300,1.89900,91.80000,0.38300,19.21000,0.01500
"2011-07-04 11:00:00","2011-07-04 12:00:00",0.98800,0.84200,0.05000,0.06200,14.29000,0.28500
"2011-07-04 12:00:00","2011-07-04 13:00:00",-0.08400,0.44600,0.18300,0.06000,0.18700,0.15000
"2011-07-04 13:00:00","2011-07-04 14:00:00",-0.08400,0.44600,0.05000,0.06400,0.18700,0.01500
"2011-07-04 14:00:00","2011-07-04 15:00:00",-0.08400,0.71000,0.18300,0.06000,0.32400,0.28500
"2011-07-04 15:00:00","2011-07-04 16:00:00",0.05000,0.71000,0.18300,0.06900,0.32400,-0.12000
"2011-07-04 16:00:00","2011-07-04 17:00:00",0.05000,1.23900,0.44900,0.75200,1.00800,0.01500
"2011-07-04 17:00:00","2011-07-04 18:00:00",56.62000,6.25700,0.31600,17.27000,2.24000,0.15000
"2011-07-04 18:00:00","2011-07-04 19:00:00",100.00000,99.80000,1.64500,31.77000,14.28000,-0.12000
"2011-07-04 19:00:00","2011-07-04 20:00:00",100.00000,99.90000,6.56400,37.94000,22.09000,0.15000
"2011-07-04 20:00:00","2011-07-04 21:00:00",100.00000,99.60000,57.88000,44.92000,29.89000,0.28500
"2011-07-04 21:00:00","2011-07-04 22:00:00",100.00000,99.50000,65.73000,54.82000,34.13000,0.28500
"2011-07-04 22:00:00","2011-07-04 23:00:00",100.00000,99.00000,2.57600,80.70000,38.79000,0.28500
"2011-07-04 23:00:00","2011-07-05 00:00:00",100.00000,99.40000,1.51300,89.70000,43.44000,0.69100
"2011-07-05 00:00:00","2011-07-05 01:00:00",100.00000,91.20000,1.38000,91.70000,54.12000,0.96100
"2011-07-05 01:00:00","2011-07-05 02:00:00",100.00000,95.80000,1.38000,92.70000,11.14000,1.23200
"2011-07-05 02:00:00","2011-07-05 03:00:00",100.00000,96.20000,0.98100,93.30000,4.56800,-0.12000
"2011-07-05 03:00:00","2011-07-05 04:00:00",100.00000,97.10000,0.98100,93.50000,3.88300,0.28500
"2011-07-05 04:00:00","2011-07-05 05:00:00",100.00000,94.10000,1.11400,93.80000,3.88300,0.42000
"2011-07-05 05:00:00","2011-07-05 06:00:00",99.10000,92.10000,0.98100,93.90000,3.33600,0.01500
"2011-07-05 06:00:00","2011-07-05 07:00:00",92.40000,88.80000,1.11400,93.80000,5.93700,0.42000
"2011-07-05 07:00:00","2011-07-05 08:00:00",90.10000,87.70000,1.11400,94.20000,3.33600,0.28500
"2011-07-05 08:00:00","2011-07-05 09:00:00",88.30000,83.00000,1.77900,94.60000,3.19900,0.01500
"2011-07-05 09:00:00","2011-07-05 10:00:00",86.10000,82.30000,92.20000,94.40000,97.10000,0.28500
"2011-07-05 10:00:00","2011-07-05 11:00:00",87.50000,80.60000,92.10000,71.80000,37.96000,0.28500
"2011-07-05 11:00:00","2011-07-05 12:00:00",87.60000,84.30000,0.05000,0.06000,0.18700,-0.25600
"2011-07-05 12:00:00","2011-07-05 13:00:00",86.10000,80.50000,0.18300,0.06000,0.32400,0.15000
"2011-07-05 13:00:00","2011-07-05 14:00:00",88.40000,84.00000,0.05000,0.06200,0.18700,0.01500
"2011-07-05 14:00:00","2011-07-05 15:00:00",86.60000,84.40000,0.05000,0.10000,0.18700,0.15000
"2011-07-05 15:00:00","2011-07-05 16:00:00",80.20000,82.50000,0.18300,0.16500,0.32400,0.01500
"2011-07-05 16:00:00","2011-07-05 17:00:00",81.30000,78.20000,0.44900,0.71600,0.18700,0.28500
"2011-07-05 17:00:00","2011-07-05 18:00:00",87.50000,85.20000,0.98100,16.45000,0.18700,0.15000
"2011-07-05 18:00:00","2011-07-05 19:00:00",90.10000,88.80000,4.17100,30.63000,0.18700,0.42000
"2011-07-05 19:00:00","2011-07-05 20:00:00",86.90000,88.10000,52.03000,38.33000,0.18700,-0.12000
"2011-07-05 20:00:00","2011-07-05 21:00:00",88.40000,91.60000,60.01000,44.34000,63.82000,0.42000
"2011-07-05 21:00:00","2011-07-05 22:00:00",88.70000,92.40000,82.60000,50.06000,0.32400,-0.12000
"2011-07-05 22:00:00","2011-07-05 23:00:00",88.60000,92.00000,95.80000,59.81000,0.32400,0.55600
"2011-07-05 23:00:00","2011-07-06 00:00:00",87.70000,92.00000,66.38000,78.90000,0.18700,0.42000
"2011-07-06 00:00:00","2011-07-06 01:00:00",86.50000,0.18200,83.30000,73.70000,0.32400,0.15000
"2011-07-06 01:00:00","2011-07-06 02:00:00",84.60000,0.18200,82.20000,74.30000,0.32400,0.55600
"2011-07-06 02:00:00","2011-07-06 03:00:00",75.40000,0.05000,88.50000,71.30000,0.32400,0.42000
"2011-07-06 03:00:00","2011-07-06 04:00:00",59.16000,0.05000,85.70000,69.69000,0.18700,0.69100
"2011-07-06 04:00:00","2011-07-06 05:00:00",31.68000,0.05000,83.90000,70.70000,0.32400,0.55600
"2011-07-06 05:00:00","2011-07-06 06:00:00",0.18400,0.05000,92.30000,72.20000,0.46100,0.55600
"2011-07-06 06:00:00","2011-07-06 07:00:00",0.31800,0.57800,84.70000,76.60000,4.29300,0.01500
"2011-07-06 07:00:00","2011-07-06 08:00:00",17.61000,0.18200,85.00000,83.80000,16.61000,0.42000
"2011-07-06 08:00:00","2011-07-06 09:00:00",-0.08400,0.05000,84.20000,79.40000,25.38000,0.82600
"2011-07-06 09:00:00","2011-07-06 10:00:00",-0.08400,-0.08200,86.60000,66.05000,0.18700,0.01500
"2011-07-06 10:00:00","2011-07-06 11:00:00",-0.08400,49.05000,91.10000,9.10000,0.18700,0.55600
"2011-07-06 11:00:00","2011-07-06 12:00:00",-0.08400,0.05000,44.18000,0.12000,0.18700,0.42000
"2011-07-06 12:00:00","2011-07-06 13:00:00",-0.08400,1.89900,0.18300,0.36000,37.95000,0.42000
"2011-07-06 13:00:00","2011-07-06 14:00:00",-0.08400,0.18200,80.30000,0.12000,0.18700,0.42000
"2011-07-06 14:00:00","2011-07-06 15:00:00",-0.08400,0.18200,88.00000,38.53000,0.32400,0.28500
"2011-07-06 15:00:00","2011-07-06 16:00:00",42.55000,37.03000,93.00000,0.15600,0.18700,-0.12000
"2011-07-06 16:00:00","2011-07-06 17:00:00",-0.08400,0.05000,89.90000,2.53900,0.18700,0.55600
"2011-07-06 17:00:00","2011-07-06 18:00:00",-0.08400,0.05000,89.10000,15.20000,0.18700,0.42000
